key,ja,en
charge,担当,Charge
title,さん,
consecutive_nights,連泊,Consecutive Nights
eco,エコ,Eco
duvet,デュベ,Duvet
remark,備考,Remark
cleaned,清掃済,Cleaned
inspection,インスペ,Inspection
public_bath_cleaning,大浴場清掃,Public Bath Cleaning
public_bath_cleaning_please,大浴場清掃よろしくお願いいたします。,Please clean the public bath.
male_bath_cleaning,男浴清掃,Men's Bath Cleaning
female_bath_cleaning,女浴清掃,Women's Bath Cleaning
male_bath_cleaning_please,男浴清掃よろしくお願いいたします。,Please clean the men's bath.
female_bath_cleaning_please,女浴清掃よろしくお願いいたします。,Please clean the women's bath.
both_bath_cleaning_please,男浴・女浴清掃よろしくお願いいたします。,Please clean the men's and women's baths.
master_key_number,マスターキー番号,Master Key Number
target_completion_time_for_cleaning,清掃終了目標時間,Target Completion Time for Cleaning
cleaning_completion_time,清掃終了時間,Cleaning Completion Time
spot_cleaning,スポット清掃,Spot Cleaning
meating,ミーティング,Meeting
assigned_linen_closet,担当リネン庫,Linen Closet
stock_check,(在庫確認),(Stock Check)
linen_closet_lock,リネン庫,Linen Closet
linen_closet_lock_2,施錠,Lock
key_instructions,A鍵→EVホール掃除機掛け・飾り棚拭上げ・喫煙所清掃　B鍵→内階段掃除機掛け(連絡統一事項はバインダー確認),Key A→EV hall vacuuming／shelf wiping／smoking area cleaning　Key B→Inner staircase vacuuming (Check binder for unified notices)
author,作成者,Author
early_shift,早番,Early Shift
inspection_charge,インスペクション,Inspection Charge
sign,印,Stamp
notice,連絡事項,Notice
special_cleaning,特別清掃(該当に◯),Special Cleaning (Circle if applicable)
line_first,　棚卸　　草取り,Inventory　　Weeding
airconditioner_filter_cleaning,エアコンフィルター清掃,Air Conditioner Filter Cleaning
units,台,Units
line_second,新人研修　　改装関連,New Employee Training　　Renovation Related
line_third,　　ミーティング参加,　　　Meeting Participation
room_number,部屋番号,Number
forget,忘れ物,Forgotten Items
hotel_name,ルートイン下妻,RouteInn Shimotsuma
declaration,上記日程を終了致しました。,The above schedule has been completed.
signature,(清掃担当者)署名　　　　　　　　　　,(Cleaning Staff) Signature
cover_title,清掃指示内容,Cleaning Instructions
cover_house_person,ハウスさん,Housekeepers
cover_people_counter,名,people
cover_night_total,ナイト清掃指示部屋総数,Total Night Cleaning Rooms
cover_rooms_unit,部屋,rooms
cover_bath_person,大浴場担当者,Public Bath Staff
cover_drain_water,湯抜き,Drain Water
cover_highskite,ハイスキット,Highskite
cover_chlorine,高濃度塩素消毒,High Concentration Chlorine
cover_chemical_clean,循環配管薬品洗浄,Chemical Pipe Cleaning
cover_public,パブリック,Public
cover_room_change,ルームチェンジ,Room Change
cover_room_unit,号室,Room
cover_honorific,さん,
cover_male_bath,男浴：,Men's Bath:
cover_female_bath,女浴：,Women's Bath:
cover_out_in,アウト/イン,Out/In
cover_must_clean,ルームチェンジ等の為要清掃　理由,Room Change Cleaning Required - Reason
cover_remark_instruction,入れ込み・回収指示,Delivery/Collection Instructions
cover_other_remarks,その他備考,Other Remarks
cover_unsold_room,未販売部屋,Unsold Room
cover_floor_assignment,F 担当,F Assignment
